,문재인,홍준표,안철수,유승민,심상정
공덕동,43.09%,20.36%,22.79%,7.52%,5.94%
아현동,43.49%,19.33%,20.77%,9.84%,6.28%
도화동,41.44%,21.41%,22.12%,8.49%,6.14%
용강동,43.40%,20.42%,21.50%,8.61%,5.82%
대흥동,44.06%,19.74%,20.02%,7.75%,7.97%
염리동,42.92%,21.42%,20.90%,7.23%,7.01%
신수동,42.81%,20.12%,21.60%,8.20%,6.89%
서강동,44.21%,18.44%,20.25%,8.55%,8.32%
서교동,46.64%,18.33%,18.76%,6.87%,9.04%
합정동,46.20%,17.11%,19.82%,6.90%,9.52%
망원1동,46.43%,18.02%,20.53%,5.58%,8.99%
망원2동,46.91%,18.62%,20.39%,5.79%,7.82%
연남동,48.00%,18.10%,18.23%,6.07%,9.26%
성산1동,46.91%,17.65%,20.55%,5.92%,8.56%
성산2동,45.97%,18.03%,21.53%,6.83%,7.23%
상암동,48.01%,17.06%,20.60%,7.06%,6.92%